epoch,accuracy,loss,use_positional_encoding,val_accuracy,val_loss
0,0.4995336,23.45252217995611,1,0.484375,5.327037071659618
1,0.49860075,3.953966713668372,1,0.484375,4.476052167641855
2,0.49277052,2.060709866406829,1,0.484375,3.404450040664116
3,0.5583022,1.487310776972558,1,0.56058395,0.9051068299008111
4,0.7002099,1.1106059258395151,1,0.6965557,0.8297051774324292
5,0.81926304,0.6228581003708255,1,0.6442975,1.5631720197461818
6,0.8822295,0.4147700634485346,1,0.8037181,0.7727155450486789
7,0.9379664,0.2083976682434764,1,0.810219,0.8142103583273226
8,0.95009327,0.18633957369232917,1,0.79322535,1.0660712603669966
9,0.9686334,0.10856514448746636,1,0.82242244,1.082954028879639
10,0.9872901,0.0439149622753798,1,0.82285583,1.3383594651291841
11,0.9923041,0.029640735712756643,1,0.8233577,1.6113945967959662
12,0.99043846,0.03529139476730508,1,0.81215787,1.7386962475567838
13,0.98309237,0.08664236242929262,1,0.77344894,2.6119013163295106
14,0.98262596,0.07490881893859486,1,0.81398267,1.5555719574437523
15,0.9918377,0.028017628348089345,1,0.82048357,1.6573248605658537
16,0.994403,0.020689011364846552,1,0.81751823,1.9771596149806558
0,0.5073461,23.910696464113474,0,0.484375,0.6887348281206006
1,0.49778453,3.7684958002946924,0,0.484375,3.8798009252896275
2,0.5548041,2.2964500875862734,0,0.6827099,1.585331513063751
3,0.78509796,0.6991220942233414,0,0.8305201,0.9462508346042494
4,0.89692163,0.3780948639864399,0,0.8054973,1.1147920493661923
5,0.93913245,0.24708195261923205,0,0.8078695,1.1439994034105845
6,0.9618703,0.12677827893553792,0,0.82020986,1.2105415215457442
7,0.9682836,0.13722895762715584,0,0.8318431,1.9384656953115533
8,0.96991605,0.13075641897625354,0,0.81384575,1.6771252466379292
9,0.9788946,0.09779724418622003,0,0.8302464,1.3738288664034684
10,0.98787314,0.03944769631952149,0,0.82582116,2.4253324318106158
11,0.9885728,0.05503878349143252,0,0.82698447,1.7177509856920172
12,0.9842584,0.07962024637234182,0,0.82741785,2.0264134794256115
